index,EHOMO(a.u.),ELUMO(a.u.),Magnitude of molecular dipole moment(a.u.),Molecular Weight,Surface Area (Bohr^2),Volume (Bohr^3),Ovality,Polar Surface Area (Angstrom^2),Non-Polar Surface Area (Angstrom^2),MPI index (eV),Chemical potential (eV),Hardness (eV),Electrophilicity index (eV),Nucleophilicity index (eV)
E1,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.30405,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661
E2,-0.25869,-0.000446,0.883074,222.23716,983.22336,1862.50441,1.34308,164.62,110.71,0.55902905,-3.1993,11.1194,0.4603,2.2374
E3,-0.276587,-0.017377,0.778436,271.10724,967.53359,1839.75213,1.33253,157.27,113.67,0.5155451,-3.542,8.694,0.7215,3.0013
E4,-0.276773,-0.007361,0.315236,206.23776,951.24788,1796.80535,1.33089,142.61,123.76,0.50143847,-3.1525,8.3157,0.5975,3.5387
E5,-0.263497,-0.022689,0.225136,242.26986,1046.8173,2043.82792,1.34408,177.41,115.73,0.5255293,-3.6969,8.2631,0.827,2.9605
E6,-0.265452,-0.008008,0.881576,222.23716,977.00463,1857.07009,1.33719,157.4,116.19,0.54874181,-3.9848,8.4819,0.936,2.5993
E7,-0.263849,-0.000121,0.412511,182.1733,814.52671,1474.13119,1.30036,130.21,97.88,0.53865014,-3.2789,8.2667,0.6502,3.4409
E8,-0.31039,0.049074,0.346403,172.22154,889.46977,1610.63142,1.3386,78.98,170.09,0.40939949,-3.2613,8.7208,0.6098,3.4288
E9,-0.307264,0.049331,0.371581,198.25882,942.97332,1796.67433,1.31938,74.22,189.83,0.38624649,-3.3365,9.3037,0.5983,3.0797
E10,-0.309513,0.049342,0.326457,214.30128,1114.98311,2076.63365,1.41648,78.49,233.73,0.35204373,-3.1898,11.1192,0.4575,2.2655
E11,-0.278935,-0.008898,0.248755,234.29092,1071.96455,2095.01922,1.35385,130.52,169.66,0.43670565,-3.2835,9.6527,0.5585,2.7112
E12,-0.258471,-0.00003,0.750821,264.3169,1176.12207,2312.41112,1.39078,155.37,173.98,0.47535865,-3.1839,8.3389,0.6078,3.5124
E13,-0.276214,-0.016679,0.96287,313.18698,1160.99668,2290.36445,1.38169,148.23,176.88,0.44087648,-3.1835,10.8215,0.4683,2.3125
E14,-0.289323,-0.023891,1.4754,302.28888,1185.21931,2327.49979,1.39547,158.75,173.14,0.46511715,-3.747,8.3014,0.8457,2.926
E15,-0.264279,-0.008796,0.73401,264.3169,1169.70378,2306.76206,1.38545,151.01,176.55,0.47161223,-3.5198,8.666,0.7148,3.0418
E16,-0.263157,0.000716,0.282443,224.25304,1007.5102,1924.19627,1.34668,121.38,160.75,0.44533589,-3.5568,7.7138,0.82,3.3298
E17,-0.275214,0.009406,0.351552,198.25882,985.55784,1855.43007,1.34969,95.58,180.4,0.40103195,-3.3116,8.3491,0.6568,3.392
