Substrates,Allylic Substrates,Catalysts,Yield,ee
N12,E5,L1,86.24,97
N12,E5,L2,79.21,97
N12,E5,L3,72.9,96
N15,E5,L1,69.56,97
N15,E5,L2,80.08,98
N15,E5,L3,64.78,97
N29,E5,L1,72.25,95
N29,E5,L2,78.2,98
N29,E5,L3,63.91,98
N18,E5,L1,43.45,96
N18,E5,L2,45.82,98
N18,E5,L3,50.05,93
N12,E22,L1,42,81
N12,E22,L2,73,93
N12,E22,L3,65,95
N15,E22,L1,18,80
N15,E22,L2,75,89
N15,E22,L3,68,93
N18,E22,L1,60,83
N18,E22,L2,95,87
N18,E22,L3,70,92
N12,E17,L1,93,91
N12,E17,L2,94,92
N12,E17,L3,90,89
N29,E17,L1,92,95
N29,E17,L2,93,97
N29,E17,L3,79,98
N18,E17,L1,88,91
N18,E17,L2,90,93
N18,E17,L3,80,88
N15,E11,L1,73,91
N15,E11,L2,72,95
N15,E11,L3,70,96
N29,E11,L2,85,98
N29,E11,L3,69,97
N15,E33,L2,99,99
N18,E33,L2,90,99
N18,E33,L1,82,94
N19,E9,L2,95,96
N19,E29,L2,94,99
N6,E9,L2,93,96
N6,E29,L2,90,99
N24,E9,L2,94,96
N24,E29,L2,92,99
N43,E9,L2,90,96
N19,E9,L2,95,97
N19,E27,L2,85,99
N19,E30,L2,92,96
N19,E28,L2,94,99
N19,E29,L2,94,99
N19,E18,L2,92,99
N19,E2,L2,85,98.5
N19,E13,L2,80,
N1,E23,L2,93,99
N13,E23,L2,74.7,99
N39,E23,L2,84,97
N37,E23,L2,89,99
N1,E37,L2,76,99
N1,E15,L2,93,99
N1,E7,L2,95,99
N1,E26,L2,82,99
N1,E35,L2,85,99
N1,E8,L2,86,99
N1,E19,L2,83,99
N1,E12,L2,63,92
N13,E37,L2,76,99
N13,E15,L2,92,99
N13,E7,L2,75.6,98
N13,E35,L2,70.07,98
N13,E8,L2,71.28,98
N13,E19,L2,81,99
N13,E12,L2,73.8,92
N14,E34,L2,82,99
N14,E20,L2,89,99
N14,E5,L2,71,96
N3,E34,L2,56,94
N3,E34,L2,75,98
N3,E32,L2,75,98
N3,E20,L2,67,98
N3,E5,L2,71,97
N3,E5,L2,79,98
N3,E1,L2,51,91
N42,E34,L2,91,98
N42,E16,L2,48,95
N27,E34,L1,33,91
N27,E34,L2,0,
N27,E34,L3,0,
N27,E16,L2,60,97
N9,E34,L2,83,96
N9,E3,L2,40,93
N9,E3,L2,43,90
N9,E16,L2,75,88
N9,E16,L2,74,84
N35,E34,L2,81,88
N35,E34,L2,65,90
N35,E4,L2,75,91
N35,E4,L2,80,93
N30,E34,L2,76,97
N30,E34,L2,76,90
N30,E4,L2,54,97
N30,E4,L2,55,95
N21,E23,L1,90,95
N21,E23,L1,82,95
N21,E39,L1,82,60
N21,E36,L1,58,39
N21,E25,L1,66,16
N21,E31,L1,57,8
N23,E23,L1,89,96
N33,E23,L1,91,96
N38,E23,L1,92,97
N26,E23,L1,83,97
N36,E23,L1,75,97
N38,E10,L1,87,96
