Substrates,Allylic Substrates,Catalysts,Yield,ee
N40,E23,L1,76,94
N40,E21,L1,94,93
N7,E23,L1,91,95
N7,E21,L1,95,95
N28,E23,L1,82,96
N4,E23,L1,86,96
N11,E23,L1,90,94
N8,E23,L1,89,96
N17,E23,L1,92,96
N20,E23,L1,83,95
N2,E23,L1,89,95
N41,E23,L1,72,96
N25,E23,L1,66,94
N5,E23,L1,82,96
N31,E23,L1,85,96
N16,E15,L1,88,96
N16,E38,L1,81,90
N16,E39,L1,91,74
N16,E21,L1,93,92
N16,E12,L1,72,95
N16,E14,L1,87,97
N16,E6,L1,83,97
N16,E23,L1,60,36
N16,E36,L1,58,39
N16,E31,L1,26,29
N16,E19,L1,77,93
N16,E7,L1,74,91
N16,E15,L1,84,88
N34,E39,L1,77,76
N34,E23,L1,89,94
N45,E23,L1,80,94
N22,E23,L1,88,96
N32,E23,L1,76,97
N34,E15,L1,88,96
N34,E24,L1,55.61,86
N34,E39,L1,77,76
N34,E38,L1,58,97
N34,E21,L1,58.08,95
N34,E10,L1,95,95
N10,E34,L2,84,93
N10,E34,L2,64,90
