index,SMILES
N1,CC#CCNS(=O)(=O)c1ccc(C)cc1
N2,Nc1ccc2ccccc2c1
N3,CONC(OC(C)(C)C)=O
N4,CCOc1cccc(N)c1
N5,Cc1cc(C)c(N)c(C)c1
N6,CC(C)(C)OC(=O)NC(=O)OC(C)(C)C
N7,COc1ccc(N)cc1
N8,Nc1ccc(Cl)cc1
N9,O=S(NCC1=CC=CC=C1)(C2=CC=C([N+]([O-])=O)C=C2)=O
N10,NS(=O)(C1=CC=C([N+]([O-])=O)C=C1)=O
N11,Nc1ccc(F)cc1
N12,O=CNC(OC(C)(C)C)=O
N13,Cc1ccc(S(=O)(=O)NCC#C[Si](C)(C)C)cc1
N14,C[Si](ONC(OC(C)(C)C)=O)(C)C(C)(C)C
N15,[Na]N(C(OC(C)(C)C)=O)C(OC(C)(C)C)=O
N16,Nc1ccccc1
N17,Nc1ccc(I)cc1
N18,O=C1NC(C2=CC=CC=C21)=O
N19,CC(=O)NC(=O)OC(C)(C)C
N20,Nc1cccc2ccccc12
N21,c1ccc2c(c1)CCN2
N22,CCCCCCN
N23,c1ccc2c(c1)CCCN2
N24,CC(C)(C)OC(=O)NC(=O)OCc1ccccc1
N25,Nc1ccccc1Br
N26,CCNCC
N27,O=S(NCC1=CC=CC=C1)(C2=CC=CC=C2[N+]([O-])=O)=O
N28,COc1cccc(N)c1
N29,CC(C)(C)OC(NC(OC(C)(C)C)=O)=O
N30,O=S(NCCC=C)(C1=CC=C([N+]([O-])=O)C=C1)=O
N31,CSc1ccc(N)cc1
N32,C=CCN
N33,C1CCNCC1
N34,NCc1ccccc1
N35,O=S(NCC=C)(C1=CC=C([N+]([O-])=O)C=C1)=O
N36,C1CCNC1
N37,Cc1ccc(S(=O)(=O)NCC#Cc2ccccc2)cc1
N38,C1COCCN1
N39,CCCCC#CCNS(=O)(=O)c1ccc(C)cc1
N40,Cc1ccc(N)cc1
N41,Nc1ccc(C(F)(F)F)cc1
N42,O=S(NCC1=CC=CC=C1)(C2=CC=C(C)C=C2)=O
N43,O=C(NC(=O)OCc1ccccc1)OCc1ccccc1
N44,C=Cc1cccc(N)c1
N45,COc1ccc(CN)cc1
E1,O=C(OC/C=C/COCC1=CC=CC=C1)OC
E2,CCOC(=O)OC/C=C/c1ccco1
E3,O=C(OC/C=C/C=C/C1=CC=CC=C1)OC
E4,O=C(OC/C=C/C1=CN=CC=C1)OC
E5,O=C(OC/C=C/COC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC
E6,COC(=O)OC/C=C/C(C)C
E7,COC(=O)OC/C=C/c1ccc(Br)cc1
E8,COC(=O)OC/C=C/c1cccc(Cl)c1
E9,CCC/C=C/COC(=O)OCC
E10,CC(=O)OC/C=C/c1ccccc1
E11,O=C(OC/C=C/CCC(OC)=O)OC
E12,C/C=C/COC(=O)OC
E13,CCOC(=O)OC/C=C/c1cccs1
E14,C/C=C/C=C/COC(=O)OC
E15,COC(=O)OC/C=C/c1ccc(OC)cc1
E16,O=C(OC/C=C/CCC1=CC=CC=C1)OC
E17,O=C(OC/C=C/CCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC
E18,CCOC(=O)OC/C=C/c1ccc(OC)cc1
E19,COC(=O)OC/C=C/c1cccs1
E20,CCCC/C=C/COC(OC)=O
E21,CCC/C=C/COC(=O)OC
E22,OC/C=C/COC(OC)=O
E23,COC(=O)OC/C=C/c1ccccc1
E24,COC(=O)OC/C=C/c1ccc([N+](=O)[O-])cc1
E25,COC(=O)OC/C=C/c1ccccc1Cl
E26,COC(=O)OC/C=C/c1ccc(C(F)(F)F)cc1
E27,CCOC(=O)OC/C=C/C(C)C
E28,CCOC(=O)OC/C=C/CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C
E29,CCOC(=O)OC/C=C/c1ccccc1
E30,C/C=C/C=C/COC(=O)OCC
E31,COC(=O)OC/C=C/c1ccccc1Br
E32,C/C=C/COC(OC)=O
E33,O=C(OC)OC/C=C/C=C/COC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3
E34,O=C(OC/C=C/C1=CC=CC=C1)OC
E35,COC(=O)OC/C=C/c1cccc(OC)c1
E36,COC(=O)OC/C=C/c1ccccc1C
E37,COC(=O)OC/C=C/c1ccc(C)cc1
E38,COC(=O)OC/C=C/c1ccco1
E39,COC(=O)OC/C=C/c1ccccc1OC
L1,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4
L2,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4
L3,CC(N(P1OC2=C(C3=CC=CC=C3C=C2)C4=C5C=CC=CC5=CC=C4O1)C(C6=C7C(C=CC=C7)=CC=C6)C)C8=CC=CC9=C8C=CC=C9
