index,EHOMO(a.u.),ELUMO(a.u.),Magnitude of molecular dipole moment(a.u.),Molecular Weight,Surface Area (Bohr^2),Volume (Bohr^3),Ovality,Polar Surface Area (Angstrom^2),Non-Polar Surface Area (Angstrom^2),MPI index (eV),Chemical potential (eV),Hardness (eV),Electrophilicity index (eV),Nucleophilicity index (eV)
E10,-0.280205,-0.01122,0.636306,176.21219,834.75269,1577.55292,1.273750629,104.75,129.01,0.4289,-3.9458,9.0432,0.8608,1.4964
E11,-0.320066,0.035131,0.628399,202.20482,915.50816,1676.80944,1.341288769,122.61,133.76,0.4786,-3.8401,11.5201,0.64,0.4118
E12,-0.315096,0.044818,0.274331,130.14204,647.4889,1139.86113,1.227006623,63.71,117.61,0.4256,-3.6311,11.9426,0.552,0.547
E13,-0.270266,-0.016087,0.379973,212.26565,909.32792,1732.75212,1.303403178,107.58,147.05,0.4141,-3.8882,8.7101,0.8679,1.7669
E14,-0.279403,0.004503,0.357055,156.17939,783.78704,1403.43459,1.292962223,90.24,129.24,0.4358,-3.7147,9.6076,0.7181,1.5183
E15,-0.260685,-0.003921,0.652282,222.23762,974.94228,1861.92153,1.332050013,147.96,125.05,0.4868,-3.5843,8.6006,0.7469,2.0276
E16,-0.295043,0.024984,0.135465,220.26483,1018.20482,1956.11649,1.346132722,104.28,180.85,0.4011,-3.6638,10.4284,0.6436,1.0927
E17,-0.285185,0.010071,0.337894,402.48321,1600.2178,3430.65962,1.454710428,155.71,292.4,0.3832,-3.7376,9.3748,0.7451,1.3609
E18,-0.260432,-0.002289,0.682443,236.26424,1047.35511,2014.71386,1.357690926,140.49,152.8,0.4538,-3.5605,8.6204,0.7353,2.0345
E19,-0.270924,-0.015614,0.227756,198.23903,843.52216,1581.63089,1.284918591,119.47,116.74,0.4583,-3.8924,8.7567,0.8651,1.749
E1,-0.293024,0.028319,0.512826,236.26424,1066.81451,2026.49898,1.377549446,150.86,147.88,0.4632,-3.6413,10.5011,0.6313,1.1476
E20,-0.313678,0.04314,0.298756,172.22189,874.13523,1606.7354,1.317644513,60.48,184.3,0.3419,-3.6272,11.5952,0.5673,0.5856
E21,-0.315311,0.042802,0.265466,158.19527,805.31622,1453.06085,1.298055079,67.73,157.78,0.3815,-3.6644,11.6772,0.5749,0.5412
E22,-0.320275,0.034138,0.717556,146.14144,687.46667,1205.0669,1.255336292,103.87,88.64,0.5547,-3.8727,11.7756,0.6368,0.4061
E23,-0.281856,-0.012491,0.15195,192.2116,870.21851,1642.90664,1.292415831,123.72,119.97,0.457,-3.9871,9.0524,0.8781,1.4515
E24,-0.307986,-0.061074,1.95256,237.20917,957.88273,1827.45562,1.325145785,163.1,105.13,0.5533,-4.981,8.378,1.4807,0.7405
E25,-0.28873,-0.019225,0.648372,226.6566,924.2851,1770.8708,1.305761651,118.58,140.25,0.4349,-4.1766,9.0027,0.9688,1.2645
E26,-0.298942,-0.031917,1.136233,260.2096,983.27962,1876.08263,1.33667227,149.52,125.82,0.4701,-4.4776,8.9262,1.123,0.9866
E27,-0.314993,0.042735,0.356988,172.22189,861.38,1602.50289,1.30070291,53.22,187.99,0.327,-3.6513,11.5842,0.5754,0.5498
E28,-0.295245,0.010847,0.547654,426.6215,1668.41556,3806.94005,1.415042276,123.35,343.86,0.3125,-3.804,9.6077,0.7531,1.0872
E29,-0.281603,-0.011889,0.071304,206.23822,942.76644,1796.59202,1.319128223,116.03,147.97,0.4215,-3.9756,9.049,0.8733,1.4584
E2,-0.265574,-0.003707,0.460562,196.20027,871.1061,1622.55332,1.304530625,100.06,143.88,0.4176,-3.6786,8.9907,0.7526,1.8946
E30,-0.27913,0.004729,0.290703,170.20601,856.11706,1556.75019,1.317962566,82.9,156.83,0.3956,-3.7083,9.5897,0.717,1.5257
E31,-0.289197,-0.019355,0.679764,271.10719,946.83923,1830.5422,1.30839524,121.95,143.19,0.4351,-4.1931,8.9796,0.979,1.2518
E32,-0.315093,0.044821,0.274291,130.14204,647.4907,1139.85767,1.227012517,63.71,117.61,0.4256,-3.6311,11.9426,0.552,0.5471
E33,-0.284882,-0.005242,0.590438,414.49395,1654.99531,3540.61076,1.473195962,170.49,292.96,0.3871,-3.904,8.9785,0.8488,1.3692
