Substrates,Allylic Substrates,Additive,Catalysts,Chirality,base,b:l ratio,Yield,ee,doi
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,92,97,
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,98,
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=C(OC)C=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,97,
C12=CC=CC=C1N=CN2,BrC(C=C1)=CC=C1/C=C/COC(OC)=O,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,84,95,
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC(C)=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,92,97,
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC(C=CC=C2)=C2C=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,97,
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=CC=C1OC)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,93,80,
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=CC=C1OC)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,97,92,
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=CO1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,96,
C12=CC=CC=C1N=CN2,CCCC/C=C/COC(OC)=O,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,94,
C12=CC=CC=C1N=C(C3=CC=CC=C3)N2,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,92,86,
C12=CC=CC=C1N=C(C3=CC=CC=C3)N2,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,94,96,
CC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,41,94,
CC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,81,97,
CC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1CCCCC1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,47,89,
CC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1CCCCC1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,94,
ClC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,83,93,
ClC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,52,0,
ClC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,85,95,
OCC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,53,93,
OCC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,53,93,
OCC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,75,96,
C1=CN=CN1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,73,96,
C1=CN=CN1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,87,98,
C1(C2=CC=CC=C2)=C(N=CN1)C3=CC=CC=C3,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,83,98,
