Substrates,Allylic Substrates,Additive,Catalysts,Chirality,base,b:l ratio,Yield_ori,ee,doi,Yield
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,92,97,,92
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,98,,90
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=C(OC)C=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,97,,90
C12=CC=CC=C1N=CN2,BrC(C=C1)=CC=C1/C=C/COC(OC)=O,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,84,95,,84
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC(C)=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,92,97,,92
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC(C=CC=C2)=C2C=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,97,,90
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=CC=C1OC)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,93,80,,93
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=CC=C1OC)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,97,92,,97
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=CO1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,96,,90
C12=CC=CC=C1N=CN2,CCCC/C=C/COC(OC)=O,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,94,,90
