,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
0,0.1547,0.0336,0.0726,0.0468,0.01384,0.37875,0.01927,0.1777,0.4355,0.0947,0.2651,0.2043,0.1318,0.1681,-0.245241,0.035138,0.589204,107.15332,569.6783,1041.49874,1.146497344,65.74,93.79,0.4477,-2.8203,9.6672,0.4114,2.4479,0.0045,0.0096,0.0179,0.0178,0.0201,0.0293,0.1371,0.1189,0.0683,0.0817,0.00842,0.00656,0.01559,0.02596,0.02576,0.02913,0.10441,0.19904,0.07174,0.09915,0.0136,0.0288,0.0212,0.0538,0.0534,0.0536,0.0603,0.0882,0.0742,0.4122,0.3574,0.3848,0.2053,0.2456,0.2255,-0.281856,-0.012491,0.15195,192.2116,870.21851,1642.90664,1.292415831,123.72,119.97,0.457,-3.9871,9.0524,0.8781,1.4515,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,94
1,0.1547,0.0336,0.0726,0.0468,0.01384,0.37875,0.01927,0.1777,0.4355,0.0947,0.2651,0.2043,0.1318,0.1681,-0.245241,0.035138,0.589204,107.15332,569.6783,1041.49874,1.146497344,65.74,93.79,0.4477,-2.8203,9.6672,0.4114,2.4479,0.0065,0.0219,0.0291,0.0299,0.0269,0.049,0.2158,0.1684,0.1927,0.1798,0.01259,0.0035,0.01722,0.01575,0.02819,0.01454,0.09685,0.11676,0.10339,0.10427,0.0151,0.051,0.033,0.0678,0.0698,0.0688,0.0626,0.1143,0.0884,0.5028,0.3925,0.4476,0.449,0.419,0.434,-0.315311,0.042802,0.265466,158.19527,805.31622,1453.06085,1.298055079,67.73,157.78,0.3815,-3.6644,11.6772,0.5749,0.5412,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,93
2,0.1364,0.032,0.0755,0.0446,0.01279,0.3705,0.01783,0.20503,0.4003,0.0938,0.2471,0.2215,0.1309,0.1762,-0.235404,0.031533,0.704988,123.15273,601.09831,1107.34468,1.161286828,99.21,69.11,0.5418,-2.7232,9.2739,0.3998,2.7155,0.0045,0.0096,0.0179,0.0178,0.0201,0.0293,0.1371,0.1189,0.0683,0.0817,0.00842,0.00656,0.01559,0.02596,0.02576,0.02913,0.10441,0.19904,0.07174,0.09915,0.0136,0.0288,0.0212,0.0538,0.0534,0.0536,0.0603,0.0882,0.0742,0.4122,0.3574,0.3848,0.2053,0.2456,0.2255,-0.281856,-0.012491,0.15195,192.2116,870.21851,1642.90664,1.292415831,123.72,119.97,0.457,-3.9871,9.0524,0.8781,1.4515,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,95
3,0.1364,0.032,0.0755,0.0446,0.01279,0.3705,0.01783,0.20503,0.4003,0.0938,0.2471,0.2215,0.1309,0.1762,-0.235404,0.031533,0.704988,123.15273,601.09831,1107.34468,1.161286828,99.21,69.11,0.5418,-2.7232,9.2739,0.3998,2.7155,0.0065,0.0219,0.0291,0.0299,0.0269,0.049,0.2158,0.1684,0.1927,0.1798,0.01259,0.0035,0.01722,0.01575,0.02819,0.01454,0.09685,0.11676,0.10339,0.10427,0.0151,0.051,0.033,0.0678,0.0698,0.0688,0.0626,0.1143,0.0884,0.5028,0.3925,0.4476,0.449,0.419,0.434,-0.315311,0.042802,0.265466,158.19527,805.31622,1453.06085,1.298055079,67.73,157.78,0.3815,-3.6644,11.6772,0.5749,0.5412,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,95
4,0.1452,0.0392,0.0645,0.0587,0.01561,0.33729,0.02339,0.14988,0.3975,0.1073,0.2524,0.1766,0.1608,0.1687,-0.249839,0.041255,0.384716,123.15273,600.33062,1106.6166,1.160312356,97.62,70.49,0.5411,-2.814,9.9406,0.3983,2.3227,0.0045,0.0096,0.0179,0.0178,0.0201,0.0293,0.1371,0.1189,0.0683,0.0817,0.00842,0.00656,0.01559,0.02596,0.02576,0.02913,0.10441,0.19904,0.07174,0.09915,0.0136,0.0288,0.0212,0.0538,0.0534,0.0536,0.0603,0.0882,0.0742,0.4122,0.3574,0.3848,0.2053,0.2456,0.2255,-0.281856,-0.012491,0.15195,192.2116,870.21851,1642.90664,1.292415831,123.72,119.97,0.457,-3.9871,9.0524,0.8781,1.4515,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,96
5,0.1423,0.0387,0.0641,0.0581,0.01534,0.33276,0.02302,0.14987,0.3916,0.1065,0.249,0.1764,0.1598,0.1681,-0.249288,0.0418,0.375112,137.17934,680.83516,1263.33561,1.204699396,91.22,99.43,0.4836,-2.7997,9.8906,0.3962,2.3377,0.0045,0.0096,0.0179,0.0178,0.0201,0.0293,0.1371,0.1189,0.0683,0.0817,0.00842,0.00656,0.01559,0.02596,0.02576,0.02913,0.10441,0.19904,0.07174,0.09915,0.0136,0.0288,0.0212,0.0538,0.0534,0.0536,0.0603,0.0882,0.0742,0.4122,0.3574,0.3848,0.2053,0.2456,0.2255,-0.281856,-0.012491,0.15195,192.2116,870.21851,1642.90664,1.292415831,123.72,119.97,0.457,-3.9871,9.0524,0.8781,1.4515,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,96
6,0.164,0.0346,0.0746,0.0479,0.01753,0.36138,0.02427,0.16437,0.4604,0.0971,0.2787,0.2094,0.1344,0.1719,-0.254202,0.02108,1.204524,111.11717,511.38923,914.24745,1.122599767,87.95,55.25,0.5644,-3.1352,9.6917,0.5071,2.204,0.0045,0.0096,0.0179,0.0178,0.0201,0.0293,0.1371,0.1189,0.0683,0.0817,0.00842,0.00656,0.01559,0.02596,0.02576,0.02913,0.10441,0.19904,0.07174,0.09915,0.0136,0.0288,0.0212,0.0538,0.0534,0.0536,0.0603,0.0882,0.0742,0.4122,0.3574,0.3848,0.2053,0.2456,0.2255,-0.281856,-0.012491,0.15195,192.2116,870.21851,1642.90664,1.292415831,123.72,119.97,0.457,-3.9871,9.0524,0.8781,1.4515,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,94
7,0.1521,0.0338,0.0689,0.0456,0.01761,0.33263,0.02374,0.15061,0.4326,0.0962,0.2644,0.1959,0.1297,0.1628,-0.254839,0.020494,1.370442,127.5717,559.79921,1022.07082,1.140847243,99.48,57.28,0.5549,-3.1562,9.5686,0.5205,2.1867,0.0045,0.0096,0.0179,0.0178,0.0201,0.0293,0.1371,0.1189,0.0683,0.0817,0.00842,0.00656,0.01559,0.02596,0.02576,0.02913,0.10441,0.19904,0.07174,0.09915,0.0136,0.0288,0.0212,0.0538,0.0534,0.0536,0.0603,0.0882,0.0742,0.4122,0.3574,0.3848,0.2053,0.2456,0.2255,-0.281856,-0.012491,0.15195,192.2116,870.21851,1642.90664,1.292415831,123.72,119.97,0.457,-3.9871,9.0524,0.8781,1.4515,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,96
8,0.1378,0.0323,0.0632,0.0431,0.01732,0.30542,0.02312,0.13999,0.4008,0.0939,0.2474,0.1837,0.1254,0.1545,-0.253767,0.016766,1.41409,219.02324,617.83023,1167.30908,1.152376661,105.34,67.67,0.5338,-3.1683,9.3572,0.5364,2.2159,0.0045,0.0096,0.0179,0.0178,0.0201,0.0293,0.1371,0.1189,0.0683,0.0817,0.00842,0.00656,0.01559,0.02596,0.02576,0.02913,0.10441,0.19904,0.07174,0.09915,0.0136,0.0288,0.0212,0.0538,0.0534,0.0536,0.0603,0.0882,0.0742,0.4122,0.3574,0.3848,0.2053,0.2456,0.2255,-0.281856,-0.012491,0.15195,192.2116,870.21851,1642.90664,1.292415831,123.72,119.97,0.457,-3.9871,9.0524,0.8781,1.4515,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,96
9,0.1113,0.036,0.069,0.0639,0.02388,0.28494,0.04243,0.17663,0.3659,0.1182,0.2421,0.2268,0.2101,0.2185,-0.241126,-0.004106,0.660966,143.18553,655.78917,1282.56984,1.148751523,95.04,88.6,0.4997,-3.3151,8.278,0.6638,2.5598,0.0045,0.0096,0.0179,0.0178,0.0201,0.0293,0.1371,0.1189,0.0683,0.0817,0.00842,0.00656,0.01559,0.02596,0.02576,0.02913,0.10441,0.19904,0.07174,0.09915,0.0136,0.0288,0.0212,0.0538,0.0534,0.0536,0.0603,0.0882,0.0742,0.4122,0.3574,0.3848,0.2053,0.2456,0.2255,-0.281856,-0.012491,0.15195,192.2116,870.21851,1642.90664,1.292415831,123.72,119.97,0.457,-3.9871,9.0524,0.8781,1.4515,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,95
